Category,Q,Components (Full Spelling & Acronym),Detailed Component Description,Zero-Trust Architecture (ZTA) Technical Guidance & Enforcement
T2-AI-12,Agentic AI,"Artificial Intelligence (AI) Agents, LLM Integrated Tools, AI Copilots.",Autonomous entities acting for users to execute APIs or analyze bank data.,Inference Privacy: Apply Prompt Filtering (Anti-Injection). Data Masking for PII/CII. Strict API rate limiting and per-agent identity logs.
T2-EXT-13,Third-Party Access,"Contractor-Owned Laptops, Consultant Workstations, Managed Vendor Assets.",External hardware lacking bank security agents used by vendors/consultants.,Browser-only Gateway: Mandatory use of SEB or VDI. No direct VPN access allowed. Continuous posture scanning for session duration.
T2-OFF-14,Offensive Security,"Internal Red Team Laptops, Penetration Testing Nodes (Pwnboxes).",Specialized machines for authorized security testing that run offensive tools (Kali/Cobalt Strike).,"Monitored Exception: Network egress via a ""Dirty Line."" EDR in ""Audit Mode."" All ""attacks"" must be logged to a central Red Team orchestrator."
T3-BYO-15,Personal Devices,Employee-Owned Smartphones/Tablets (BYOD).,Personal hardware used by employees for productivity via secure containers.,App-Level Trust: Mobile Application Management (MAM) with encryption. Zero visibility/control over the personal OS or photos/apps.
T3-COL-16,Collaboration,"Digital Whiteboards, Voice/Video Systems, Call Recording Nodes, IP Phones.","Interaction hardware, including systems for archiving regulated trader/client communications.",Session Governance: Isolated VRF. WORM (Write Once Read Many) storage for recordings. Automatic memory wipe after session disconnect.
T3-PRN-17,Output/Peripherals,"Multifunction Printers (MFP), Multifunction Devices (MFD), Document Scanners.",Physical hardware used to digitize paper or print records. Contains internal storage.,"DLP & Integrity: Badge-based Pull-Printing. OCR-based DLP scanning on all outgoing ""Scan-to-Email"" or ""Scan-to-Share"" jobs."
T3-MED-18,Physical Media,"USB Flash Drives, External Hard Disk Drives (HDD), Optical Media, SD Cards.",Portable storage used to move data physically across the organization.,"Hardware Lockdown: System-level block of Mass Storage Class (MSC) devices. Approved encrypted media only. Ingress via ""Sanitization Station."""
T3-IOT-19,Facilities and IoT,"Digital Signage, Internet Protocol Television (IPTV), Meeting Room Panels.","Smart devices for marketing and facility monitoring (HVAC, leaks, etc.).","Isolation-Default: Put into ""Digital Jail"" via isolated VLANs. Block all outbound internet access. Mandate 802.1X Certificate Auth."
T3-PHY-20,Physical Security,"Biometric Scanners, Electronic Vault Locks, Badge Readers, CCTV/DVR.","Hardware governing physical entry to vaults, data centers, and offices.",Hardware Auth: Mutual TLS (mTLS) for all nodes. No default credentials. Segregated from the corporate production network.
T3-EXT-21,External Exchange,"Third-Party Exchange Terminals, SWIFT Alliance Gateways (Hardware).",Proprietary hardware owned by exchanges but hosted in-house.,"DMZ Strategy: Treat as ""Foreign Embassy."" Inbound traffic allowed only to specific internal API endpoints. No egress to bank core."
T3-DEC-22,Deception Tech,"Honeypot Endpoints, Decoy File Servers, Simulated SWIFT Terminals.",Fake vulnerable endpoints designed to lure lateral movement.,Alert-Trigger: Any interaction triggers a Severity 1 PagerDuty alert. These devices have zero business purpose and should never be touched.
